IID	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
A73	0.141023047981112	-0.179837511231051	0.487887662251028	-0.0491772777949924	-0.365386851749201	0.0410668113385631	0.00309845300877908	0.274601855734746	0.131736407514245	-0.0526710489307136
A797NW	0.184757127711684	-0.124405484264437	0.413632829282961	-0.0724870857529995	-0.375110253486092	-0.023160899463342	0.0892867587136238	0.350596667510376	0.153390890793373	-0.112391797911564
AusTRCF_306238	0.220856662658706	0.340224165802593	-0.193977249108533	-0.19355116928629	-0.254008004685778	0.136035889074836	-0.0401457137345907	0.010895989790721	0.00368003052946408	0.122372735942491
B-28	0.232529790116772	-0.183064245607138	-0.12242878625782	-0.0794629425448539	0.00267173411309075	-0.0627617042315411	-0.307280221858827	0.00370416922406499	-0.0831208486083353	0.25904798064995
B103	-0.181812337011113	-0.049005358333842	0.126919935090458	0.116477164557428	-0.115385783857271	0.179631828630625	-0.200652585739804	-0.417855894766571	0.14609620454803	0.0468099801885182
B104	-0.40703096814516	-0.0261135003436214	0.022232238623159	0.101807307759784	-0.151571740734918	0.0322787239508296	-0.111720588720954	-0.163678272794349	-0.00194795760482698	0.0100243038416686
B105	-0.182217999199359	-0.0483035302069833	0.128980406225169	0.117177338963212	-0.114084230606127	0.181537865929253	-0.20219818340411	-0.420157245189292	0.148974026504008	0.045642926244494
B107	-0.0196465013643581	0.219352612282898	0.233506769247023	0.14107859480988	0.508858024230589	0.163803739784562	-0.240992186958983	0.213488440055036	0.106724260015144	0.0898389964237378
B108	0.141494267290885	-0.0139142199921007	-0.0521011572644301	-0.0693148297240122	-0.0246880909869542	0.0336744149288939	0.121192778373438	-0.0111457466089773	-0.0143854887936077	0.0709428545101244
B109	-0.617737276484104	-0.00601897181635817	-0.158322808865422	0.442778842909295	-0.331405942532342	-0.144267061721078	-0.0447450392811636	0.0442587874636953	-0.0645616927878074	0.128211758247641
B110	-0.38472086773371	-0.0152977426561168	0.034201560032763	0.141975816993194	-0.154731279667604	0.0546974698427724	-0.127319360876316	-0.197430993595714	-0.0154606507617198	0.00632643619310633
B111	-0.187249618271781	-0.039454465781698	0.128352091269278	0.0845325828922543	-0.111488490317275	0.173017206549414	-0.2058456262054	-0.415303305214732	0.135776886290579	0.0417737765430135
B114	0.0223226398608694	0.0545523130472198	0.291670333734535	0.0581823916837306	0.154604354143766	0.10365803702332	-0.153627534443927	0.180308041989802	0.0636537366353006	0.0763104583210041
B115	0.159324484404381	-0.0843523708155807	-0.00354585039450227	-0.0947175469976108	-0.0380632080404856	-0.0359165073820457	-0.0997097830709338	-0.0836510729963737	-0.00895292553537544	0.0751572420342744
B120	0.134139110240021	-0.0783679041529536	0.330372462614267	-0.0176992760296273	-0.259734102369469	0.0590980494553657	0.0472674106516124	0.183004842801755	-0.0131543288245779	-0.0734516921385863
B121	0.142138838989128	-0.124769630886821	0.323998252916822	-0.0326578519819834	-0.264030304698671	0.0498339293203822	0.0488952794918117	0.19490528663069	0.0199171734722873	-0.0522976667203264
B14	-0.739119146867103	-0.137293996686697	0.0171395276753305	-0.611828780890285	0.0388032291750065	-0.0112194763870029	0.0622719438677224	0.05686295209329	-0.158398936516817	0.0234759374049639
B164	0.0605712604461604	-0.126342462894268	0.147882606982154	-0.00618592971213231	-0.0803336572171256	0.0841131890614285	-0.0844529341147447	-0.121205544299554	0.0269972854896191	-0.00907942638501868
B2	0.101698014658791	-0.0728092243873371	0.164907084882452	0.00484536525717902	-0.106743232284316	0.118016088815804	-0.0399434419263444	-0.21188076086781	-0.0352674211011928	0.0487148861638728
B37	-0.230830584725228	0.058906327445684	0.168930373003308	0.0772619158242806	0.243914875697528	-0.0795304207143328	-0.211798233992377	-0.220371638475484	0.822345691084115	-0.0795651222239831
B66	0.216144029580294	0.105114088315375	0.176712874843267	-0.0267886301274302	0.0932352967361964	-0.473225025497074	0.149270830263204	-0.12712046711638	-0.0714309747262107	0.143013360821468
B68	-0.591325236180017	-0.140943502946362	-0.00939834829823753	-0.636808469782138	0.0887880870315354	0.0140462340032388	0.0825855880300673	0.0623575518471019	-0.0926154687652456	0.0409167799370118
B73	-0.747034399325383	-0.00979447213736548	-0.205603744796577	0.539286570488548	-0.373450022303744	-0.202477315549421	-0.022823386645284	0.106915062635319	-0.101579257259472	0.14251215618353
B75	0.096026663675621	-0.00882122580125573	0.182470073602018	-0.0429143867638772	-0.168632457686901	-0.0492549558531891	0.0753410083694348	0.0499754826076475	-0.0106968861333495	0.0185041140463633
B77	0.189152094738129	-0.00338529058250371	-0.0268330050225645	-0.102201707870915	-0.0311823147425878	-0.000392171463389509	0.0260943995153468	-0.00505229326699958	0.0731924490741694	0.108478320799428
B79	-0.0219775190143839	0.0106992441684013	0.231884014778235	-0.143218101204238	-0.0326221261536273	-0.167417558180447	0.0861651702117513	-0.0434372355114792	-0.0493365539298888	0.0163109157261545
B84	-0.444710473719068	-0.0769119876664008	0.0077695964203254	0.120302084245221	-0.167115301034772	-0.0354181435791467	-0.0783887100190723	-0.102844235026219	0.00949580251977847	0.0531727226417803
B85	0.161874612433741	0.0263479008879475	0.101860184965646	-0.0571124862085162	-0.0371818122711539	-0.19536895927441	-0.00621163098598231	0.018115195422451	0.108970749464646	0.143437168393183
B87	0.138211571427004	0.0263933605904843	0.145467001307156	-0.0944836479355657	-0.13401890406216	-0.0747899733279591	0.062954218205382	0.0588530172350341	0.00370047555405932	0.0591001652316764
B88	-0.0391539248353274	-0.100377837213929	0.16881230882369	0.0345308718147668	-0.162130357749208	0.0508159511090456	-0.0262526274233777	-0.0225086894450772	0.020787885194447	0.0273338293513574
B97	0.144597451036758	-0.130703847325568	0.324836634192299	-0.0243101528267487	-0.245871738628668	0.0835611762589824	0.0326320496865632	0.10541064273016	-0.014128842153538	-0.072645824503605
C103	0.287036356850596	0.628606850635552	-0.233075018590176	-0.276370015170565	-0.260081164348714	0.0254527738307943	-0.0507930187497488	0.233065244235045	0.229681130582118	0.108159351071961
C123	0.247801959548642	0.342890777683164	-0.168549176423372	-0.213987186164273	-0.187487130926704	0.0236754668980839	-0.0317684643498021	0.184358016751185	0.192695095786937	0.120816116765142
CH157	0.108592951916917	-0.087957321876739	0.115031877004485	-0.0178006627454539	-0.0447061159811868	0.035039604952901	-0.046075002621394	-0.182356143370372	0.0199853317651246	0.0665237165653286
CH701-30	0.139000896769425	-0.119637743022693	0.165118721204427	-0.023320345598042	-0.113473118206754	0.00462546968277581	0.0398202971726194	0.0169753737414681	-0.0384322123782971	0.0383582205569154
CH753-4	-0.546609999529937	-0.135523178797162	0.0334187568418403	-0.539840862536624	0.0239371621902284	-0.00837128640394276	0.0405528774522262	0.0628984696920931	-0.157508223156137	0.0258881459689287
CI_40H	0.102444661875116	-0.0952295342766668	0.168117739767003	0.0237663375074937	-0.0772724289022335	0.133147012997703	-0.105345620629712	-0.157574669391555	0.0417669683176991	0.0597632000989908
CM105	-0.437912332210848	-0.134221027995683	0.0484885817684152	-0.522858816052721	0.0565232222296044	0.0226409671286453	0.0890808187637773	0.0488205363310918	-0.148598872618966	-0.0521426380513152
CO257	-0.238853192469768	-0.0232823692300674	0.0605597021328917	0.0054767099910587	-0.128850372072473	0.0747962369167388	-0.105844225877241	-0.220857283712069	0.0271083783341065	0.0188805452320866
CO258	-0.2398290696211	-0.0382759305309634	0.114049369509741	0.0521165484301457	-0.115969131298304	0.104702967029726	-0.131938337181462	-0.275119408340729	-0.0221456072554892	0.0101473886306204
DE811	-0.319544769476079	0.0503098541457693	-0.0559146930661773	-0.436209568471386	0.0388868073659267	0.0305625006252177	0.0781536869465375	0.102502801049747	0.0414987197419856	0.0257549292003986
DK4676A	-0.266575935223727	-0.0406936363025812	0.0789620141293672	-0.235875326385787	0.0848924933869479	-0.0475823053190875	-0.0214266893289392	-0.0823798030030364	0.116333667900505	0.022660195780625
DK78371A	0.249690796613867	0.477993529607196	0.137762685586146	-0.125557503795548	-0.0103291877973162	-0.572334063086718	0.182475110039417	-0.06821217727294	-0.0316814130523071	0.0923438469306064
DKFBHJ	-0.36550031166701	-0.0763595702052123	0.0305188054299806	-0.318163635595476	0.0290741611200878	-0.0130398386843244	-0.00820785984588802	-0.0708305914766084	-0.106686572198722	0.0550614455941972
DKIB014	0.103215068048238	0.207757875624804	0.302605400370669	0.198026316184325	0.470709538103775	0.0622799525554053	-0.119524035955407	0.280390405269626	-0.247675461807502	0.134055471284077
DKMBNA	0.232182205378471	0.706387497172094	-0.145296499047762	-0.187449388416401	-0.314769632800693	0.135013290124078	-0.123674538176169	0.000260150581027875	-0.0279754444374228	-0.0217885640930102
EAST_028	0.175158509166391	-0.141076163537406	0.109926543237452	-0.0782087806470649	-0.0746951041469744	0.026639778370519	0.0469603347976428	0.0204606634362455	0.00951343943256183	0.0856541605066913
Eng-Li_Chih	0.168010143035781	-0.109804779213836	-0.0330834043316496	-0.049824154888461	-0.029908526449783	0.056814835180226	-0.0129323214230548	-0.0411708073277052	-0.00609195225026841	0.119785328564984
F2834T	0.1930498835946	-0.152971731535795	-0.139825040723724	-0.0401959192797431	0.0308873828892048	0.0812390188014304	0.118245426597581	-0.0491926214813157	0.0202863662778697	0.175604796335042
FC46	0.242314520490295	-0.173653718680366	-0.164717428593918	-0.0892260964927462	0.0207630891517989	-0.136856419204964	-0.207857339863061	0.0572046373088905	0.0427677892204758	0.0595190475355404
FR19	-0.189242730758497	-0.110091540491445	0.0885434247061077	-0.319263083009516	-0.00999501669158594	0.00541672434360815	-0.0149164978177023	-0.0179318411060206	-0.152799955684891	0.0322112517428218
G80	-0.216628448310508	0.211888444027748	-0.0104282698651153	-0.250940801518844	0.116777998196871	-0.0817774151065295	-0.0932839850175157	-0.0692749187891094	0.466582557079123	0.021279033407039
H110	-0.0920897165385068	-0.144354153141851	-0.101100931810552	-0.289914537288187	0.051493798347516	0.0124320254757504	0.0535221161003871	0.0205155591859578	-0.0240871456152445	0.0880215725868721
H113	0.0698165745042942	-0.174370956875881	0.0786762736946542	-0.0472689294580459	-0.0700977370145584	0.0780184448489254	0.0138189898508865	-0.182802846541944	-0.11042111458292	0.108255980136459
H114	-0.185454937072375	0.00803886331559186	0.157690725903798	-0.0377996721180619	0.127964159932817	-0.174202114148548	-0.084968570019704	-0.212640256755134	0.401153551862402	-0.0093260650360508
H121	0.147965943133511	-0.0402718694234809	0.0871031045148673	0.00267751992047268	-0.0513544069240151	-0.0143030683761973	0.019248782655772	-0.1287185992167	-0.0185781967892173	0.0888635588527577
H122w	-0.300044825676694	0.017080654099532	-0.0665850572996045	0.276148907463475	-0.190539293132751	-0.267594129162094	0.0741768974315618	-0.0180997442160102	-0.110969681688626	0.159215146684248
